Neighborhood,Total Units,< USD 500,USD 500-999,"USD 1,000-1,999","USD 2,000+"
Allegheny Center,798,139,481,145,16
Allegheny West,77,3,47,16,11
Allentown,531,202,221,29,0
Arlington,209,18,162,5,0
Arlington Heights,144,113,28,0,0
Banksville,961,42,841,32,0
Bedford Dwellings,675,535,132,0,0
Beechview,1502,382,933,149,0
Beltzhoover,292,124,122,41,0
Bloomfield,2883,390,1685,542,208
Bluff,161,53,48,49,12
Bon Air,67,50,17,0,0
Brighton Heights,1016,262,601,106,0
Brookline,1598,324,982,115,12
California-Kirkbride,219,114,72,17,0
Carrick,1677,494,939,115,20
Central Business District,1571,183,244,534,610
Central Lawrenceville,1323,229,661,315,67
Central Northside,938,295,407,178,21
Central Oakland,1710,228,501,482,471
Chartiers City,85,26,25,11,0
Chateau,0,0,0,0,0
Crafton Heights,643,312,243,66,12
Crawford-Roberts,899,312,406,149,32
Duquesne Heights,333,48,129,121,35
East Allegheny,867,374,338,137,18
East Carnegie,122,57,51,3,0
East Hills,764,360,259,13,0
East Liberty,2475,469,1624,369,13
Elliott,390,123,191,38,0
Esplen,42,5,37,0,0
Fairywood,330,33,67,215,15
Fineview,387,242,139,3,0
Friendship,995,61,547,364,23
Garfield,943,285,441,128,3
Glen Hazel,241,185,56,0,0
Greenfield,1442,158,858,356,70
Hays,92,27,39,8,18
Hazelwood,854,455,311,46,0
Highland Park,1489,164,814,462,49
Homewood North,670,375,245,25,25
Homewood South,686,421,215,10,40
Homewood West,206,152,43,0,11
Knoxville,746,253,447,23,23
Larimer,438,215,147,39,37
Lincoln Place,177,84,71,11,11
Lincoln-Lemington-Belmar,1108,443,528,110,27
Lower Lawrenceville,800,219,337,223,21
Manchester,475,186,261,28,0
Marshall-Shadeland,599,193,348,29,29
Middle Hill,660,454,179,27,0
Morningside,580,104,325,100,51
Mount Oliver Borough,872,148,650,37,37
Mount Washington,2557,359,1231,906,61
Mt. Oliver,97,53,41,3,0
New Homestead,2,0,2,0,0
North Oakland,2099,308,846,717,228
North Shore,154,0,9,118,27
Northview Heights,498,382,92,24,0
Oakwood,316,126,179,11,0
Overbrook,311,59,206,12,34
Perry North,556,84,423,25,24
Perry South,830,273,510,29,18
Point Breeze,719,104,244,324,47
Point Breeze North,660,117,311,232,0
Polish Hill,376,116,186,45,28
Regent Square,133,0,84,41,8
Ridgemont,26,0,12,14,0
Shadyside,5548,131,1888,3115,414
Sheraden,848,257,479,75,37
South Oakland,737,130,313,294,0
South Shore,8,0,4,4,0
South Side Flats,1926,321,636,887,82
South Side Slopes,935,134,444,331,26
Spring Garden,125,52,61,6,6
Spring Hill-City View,441,262,139,20,20
Squirrel Hill North,1403,69,335,779,220
Squirrel Hill South,4059,433,1902,1581,143
St. Clair,53,14,26,2,11
Stanton Heights,359,33,296,0,30
Strip District,448,30,19,377,22
Summer Hill,114,3,80,27,4
Swisshelm Park,63,7,40,6,10
Terrace Village,775,435,213,121,6
Troy Hill,540,120,235,172,13
Upper Hill,429,108,230,81,10
Upper Lawrenceville,693,139,320,221,13
West End,64,31,33,0,0
West Oakland,426,127,195,88,16
Westwood,519,27,470,5,17
Windgap,110,42,68,0,0
