ID,Neighborhood,Sector,Population,Major Roads,Total Miles,Steps,Treads,Drive Alone,Carpool,Public Trans,Bicycle,Walk,WFH
1,Allegheny Center,3,933,2.23,4.14,0,0,27.70%,9.80%,16.80%,0.00%,43.80%,1.80%
2,Allegheny West,3,462,1.47,4.87,0,0,23.20%,20.50%,15.90%,0.00%,25.80%,0.00%
3,Allentown,6,"2,500",1.65,12.33,12,474,47.00%,10.90%,38.00%,0.00%,0.00%,1.80%
4,Arlington,7,"1,869",0.86,10.73,13,428,74.00%,7.30%,13.50%,0.00%,1.90%,2.40%
5,Arlington Heights,7,244,0,1.09,0,0,11.10%,0.00%,88.90%,0.00%,0.00%,0.00%
6,Banksville,5,"4,144",5.99,18.33,4,322,81.50%,5.90%,11.70%,0.00%,0.70%,0.00%
7,Bedford Dwellings,15,"1,202",0.97,4.48,3,234,36.70%,16.70%,33.80%,0.00%,12.80%,0.00%
8,Beechview,5,"7,974",6.42,30.75,39,"2,494",55.10%,15.30%,21.20%,0.60%,5.30%,2.60%
9,Beltzhoover,6,"1,925",3.32,17.26,16,595,45.80%,8.10%,43.10%,0.00%,0.00%,3.10%
10,Bloomfield,12,"8,442",3.8,31.74,3,131,42.00%,9.30%,20.00%,6.40%,18.80%,2.60%
11,Bluff,15,"6,600",9.08,16.48,2,188,25.50%,4.00%,23.10%,0.00%,43.10%,4.40%
12,Bon Air,6,808,1.67,9.17,1,57,60.30%,20.80%,13.50%,0.00%,3.70%,1.80%
13,Brighton Heights,2,"7,247",4.19,29.52,10,477,63.10%,11.50%,17.90%,0.00%,3.20%,2.70%
14,Brookline,5,"13,214",9.15,56.88,25,"1,797",73.10%,9.70%,12.00%,0.20%,2.80%,0.50%
15,California-Kirkbride,3,761,1.58,6.38,9,748,45.40%,0.00%,41.00%,0.00%,13.70%,0.00%
16,Carrick,5,"10,113",6.56,45.98,20,"1,193",62.10%,10.30%,19.60%,0.00%,4.70%,3.10%
17,Central Business District,16,"3,629",13.55,30.84,0,0,24.80%,5.40%,21.10%,0.00%,42.00%,6.80%
18,Central Lawrenceville,13,"4,482",2.53,18.26,1,9,51.80%,20.20%,17.40%,1.50%,7.70%,1.40%
19,Central Northside,3,"2,923",1.81,12.18,4,395,47.90%,8.10%,19.70%,2.00%,18.10%,4.20%
20,Central Oakland,14,"6,086",1.12,9.5,7,462,16.30%,6.90%,13.30%,0.00%,62.40%,1.20%
21,Chartiers City,4,477,0.35,4.32,1,81,77.50%,7.90%,14.60%,0.00%,0.00%,0.00%
22,Chateau,3,11,5.72,13.44,0,0,N/A,N/A,N/A,N/A,N/A,N/A
23,Crafton Heights,4,"3,814",3.04,19.33,9,632,67.70%,12.30%,16.80%,0.00%,0.80%,0.90%
24,Crawford-Roberts,15,"2,256",1.57,11.09,4,197,65.40%,9.60%,16.50%,0.00%,6.50%,0.00%
25,Duquesne Heights,6,"2,425",4.08,14.05,12,529,55.90%,16.30%,14.10%,0.00%,2.90%,9.20%
26,East Allegheny,3,"2,136",7.59,16.94,4,487,44.30%,12.20%,22.90%,0.90%,13.60%,5.30%
27,East Carnegie,4,570,0.77,5.55,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%
28,East Hills,11,"3,169",1.68,14.62,5,738,46.00%,10.60%,36.20%,0.00%,2.90%,1.00%
29,East Liberty,12,"5,869",4.59,21.13,0,0,47.90%,10.10%,23.80%,0.00%,15.90%,1.40%
30,Elliott,4,"2,381",4.06,19.04,19,"1,328",43.40%,22.70%,27.60%,0.00%,3.30%,3.10%
31,Esplen,4,301,1.42,4.3,2,54,39.70%,44.10%,16.20%,0.00%,0.00%,0.00%
32,Fairywood,4,"1,002",1.4,9.11,0,0,42.20%,14.70%,6.00%,0.00%,0.00%,25.90%
33,Fineview,3,"1,285",0.65,8.51,16,"1,248",48.30%,5.10%,37.10%,0.00%,6.90%,0.00%
34,Friendship,12,"1,785",0.57,4.4,0,0,35.80%,6.80%,28.50%,4.90%,20.10%,3.80%
35,Garfield,12,"3,675",1.25,16.47,13,962,44.50%,6.50%,27.20%,1.60%,13.60%,4.20%
36,Glen Hazel,9,716,0.15,2.57,1,108,64.00%,0.00%,36.00%,0.00%,0.00%,0.00%
37,Greenfield,9,"7,294",3.88,27.81,23,"1,362",57.90%,14.20%,14.60%,3.10%,6.90%,2.80%
38,Hays,8,362,6.45,12.06,0,0,81.90%,18.10%,0.00%,0.00%,0.00%,0.00%
39,Hazelwood,9,"4,317",3.61,29.88,18,"1,373",60.60%,9.10%,25.90%,0.40%,3.30%,0.80%
